id,location,name,type
55cba2476c522cafdb053b6e,"[40.7509054, -73.98926]","Blarney Rock","Point"
55cba2476c522cafdb053b6f,"[40.7441419, -73.98306099999999]","Desmond'S Tavern","Point"
55cba2476c522cafdb053b70,"[40.7242443, -73.8204154]","Naomi Kosher Pizza","Point"
55cba2476c522cafdb053b71,"[40.5841703, -73.9396213]","Roll-N-Roaster","Point"
55cba2476c522cafdb053b72,"[40.7319679, -74.0016583]","Tio Pepe","Point"
55cba2476c522cafdb053b73,"[40.6002442, -73.9420751]","Brennan & Carr","Point"
55cba2476c522cafdb053b74,"[40.885186, -73.9002615]","The Punch Bowl","Point"
55cba2476c522cafdb053b75,"[40.7504734, -73.8700163]","Jardin De China Rest","Point"
55cba2476c522cafdb053b76,"[40.7261682, -73.8236419]","Irish Cottage","Point"
55cba2476c522cafdb053b77,"[40.7062029, -74.0137007]","Blarney Stone","Point"
55cba2476c522cafdb053b78,"[40.7272376, -73.8221418]","Shimons Kosher Pizza","Point"
55cba2476c522cafdb053b79,"[40.7340505, -74.0027865]","The Riviera Cafe","Point"
55cba2476c522cafdb053b7a,"[40.6984887, -73.9927131]","Fascati'S Pizzeria","Point"
55cba2476c522cafdb053b7b,"[40.745132, -73.97598099999999]","Baby Bo'S Burritos","Point"
55cba2476c522cafdb053b7c,"[40.7594184, -73.9690789]","Shun Lee Palace Restaurant","Point"
55cba2476c522cafdb053b7d,"[40.629819, -74.11223799999999]","Li Greci'S Staaten Restaurant","Point"
55cba2476c522cafdb053b7e,"[40.5943553, -73.9300062]","Tamaqua","Point"
55cba2476c522cafdb053b7f,"[40.8401362, -73.9168424]","Munchtime","Point"
55cba2476c522cafdb053b80,"[40.7305714, -73.74292179999999]","Cara Mia","Point"
55cba2476c522cafdb053b81,"[40.8899176, -73.8194559]","Ihop","Point"
55cba2476c522cafdb053b82,"[40.705421, -73.809167]","Maloney'S Bar","Point"
55cba2476c522cafdb053b83,"[40.58834, -74.10465599999999]","Richmond County Country Club","Point"
55cba2476c522cafdb053b84,"[40.744772, -73.8845166]","La Fusta Restaurant","Point"
